Issue-id,Param,Title,Issue-URL,Commit-URL,Param-type,new scenario/use case,Old/New value,Impact,Note,How to choose new value
HBASE-18662,hbase.snapshot.restore.take.failsafe.snapshot,The default values for many configuration items in the code are not consistent with hbase-default.xml,https://issues.apache.org/jira/browse/HBASE-18662,https://github.com/apache/hbase/commit/90c15bae8d5e2acb4d58977bdfbb3425f80466a2,/,inconsistent,false -> true,/,The default values for many configuration items in the code are not consistent with hbase-default.xml,/
HBASE-18662,hbase.lease.recovery.dfs.timeout,The default values for many configuration items in the code are not consistent with hbase-default.xml,https://issues.apache.org/jira/browse/HBASE-18662,https://github.com/apache/hbase/commit/90c15bae8d5e2acb4d58977bdfbb3425f80466a2,/,inconsistent,61000 -> 64000,/,The default values for many configuration items in the code are not consistent with hbase-default.xml,/
HBASE-18662,hbase.regionserver.logroll.errors.tolerated,The default values for many configuration items in the code are not consistent with hbase-default.xml,https://issues.apache.org/jira/browse/HBASE-18662,https://github.com/apache/hbase/commit/90c15bae8d5e2acb4d58977bdfbb3425f80466a2,/,inconsistent,0 -> 2,/,The default values for many configuration items in the code are not consistent with hbase-default.xml,/
HBASE-18662,hbase.hstore.blockingStoreFiles,The default values for many configuration items in the code are not consistent with hbase-default.xml,https://issues.apache.org/jira/browse/HBASE-18662,https://github.com/apache/hbase/commit/90c15bae8d5e2acb4d58977bdfbb3425f80466a2,/,inconsistent,7 -> 10,/,The default values for many configuration items in the code are not consistent with hbase-default.xml,/
HBASE-18662,hbase.ipc.server.callqueue.handler.factor,The default values for many configuration items in the code are not consistent with hbase-default.xml,https://issues.apache.org/jira/browse/HBASE-18662,https://github.com/apache/hbase/commit/90c15bae8d5e2acb4d58977bdfbb3425f80466a2,/,inconsistent,0 -> 0.1,/,The default values for many configuration items in the code are not consistent with hbase-default.xml,/
HBASE-18662,hbase.normalizer.period,The default values for many configuration items in the code are not consistent with hbase-default.xml,https://issues.apache.org/jira/browse/HBASE-18662,https://github.com/apache/hbase/commit/90c15bae8d5e2acb4d58977bdfbb3425f80466a2,/,inconsistent,1800000 -> 300000,/,The default values for many configuration items in the code are not consistent with hbase-default.xml,/
HBASE-18662,hbase.client.max.perserver.tasks,The default values for many configuration items in the code are not consistent with hbase-default.xml,https://issues.apache.org/jira/browse/HBASE-18662,https://github.com/apache/hbase/commit/90c15bae8d5e2acb4d58977bdfbb3425f80466a2,/,inconsistent,5 -> 2,/,The default values for many configuration items in the code are not consistent with hbase-default.xml,/
HBASE-18662,hbase.client.max.total.tasks,The default values for many configuration items in the code are not consistent with hbase-default.xml,https://issues.apache.org/jira/browse/HBASE-18662,https://github.com/apache/hbase/commit/90c15bae8d5e2acb4d58977bdfbb3425f80466a2,/,inconsistent,5 -> 2,/,The default values for many configuration items in the code are not consistent with hbase-default.xml,/
HBASE-18662,hbase.security.visibility.mutations.checkauths,The default values for many configuration items in the code are not consistent with hbase-default.xml,https://issues.apache.org/jira/browse/HBASE-18662,https://github.com/apache/hbase/commit/90c15bae8d5e2acb4d58977bdfbb3425f80466a2,/,inconsistent,10 ->16,/,The default values for many configuration items in the code are not consistent with hbase-default.xml,/
SPARK-24926,spark.rpc.io.threads,Ensure numCores is used consistently in all netty configurations,https://issues.apache.org/jira/browse/SPARK-24926,https://github.com/apache/spark/commit/70462f291bf046c648f36063b0161861e6d11898,/,inconsistent,0 -> numUsableCores,/,Ensure numCores is used consistently in all netty configurations,/
HDFS-11957,dfs.namenode.posix.acl.inheritance.enabled,Enable POSIX ACL inheritance by default.,https://issues.apache.org/jira/browse/HDFS-11957,https://github.com/apache/hadoop/commit/312e57b95477ec95e6735f5721c646ad1df019f8,feature selection,enable/disable feature,false -> true,/,"This change is considered backward-incompatible, so the new behavior is off by default and must be explicitly configured by setting dfs.namenode.posix.acl.inheritance.enabled to true in hdfs-site.xml. It is time to enable POSIX ACL inheritance by default.",/
HDFS-12214,dfs.storage.policy.satisfier.enabled,[SPS]: Fix review comments of StoragePolicySatisfier feature.,https://issues.apache.org/jira/browse/HDFS-12214,https://github.com/apache/hadoop/commit/0e820f16af309cc8476edba448dd548686431133,feature selection,enable/disable feature,true -> false,/,"Yea, I think that'd make sense for additional safety, we often ship new features disabled by default.",/
HDFS-12376,dfs.journalnode.enable.sync,Enable JournalNode Sync by default.,https://issues.apache.org/jira/browse/HDFS-12376,https://github.com/apache/hadoop/commit/5ff74167ddd378a738898425c4462f3432f9c31d,feature selection,enable/disable feature,true -> false -> true,/,"In the meanwhile, the current patch may still hit an issue while HA upgrade is going on. If the segment downloading is happening while the admin tries to rollback, the deletion of the current directory may fail on Windows. As a fix we can disable the sync while there is prev directory on JN (which means the upgrade is still going on). Or we can download the segment first into another directory. Currently I'm thinking maybe we can disable this feature in the configuration by default, then use separate jiras to track remaining issues. This also allows us to do more testing. Thoughts? I have tested this feature extensively on a long running test for more than 10 days. Ran a script which keeps generating load, deleting edit logs from journals and verifying that the deleted edit logs are synced back.at the beginning is true, however, there remains some bugs so change it to false. After the bug is fixed, change it back to true. “I have tested this feature extensively on a long running test for more than 10 days. Ran a script which keeps generating load, deleting edit logs from journals and verifying that the deleted edit logs are synced back.”",/
HDFS-12603,dfs.namenode.edits.asynclogging,Enable async edit logging by default,https://issues.apache.org/jira/browse/HDFS-12603,https://github.com/apache/hadoop/commit/afb42aeabf1317b755ab79e0265bc90920c896ac,feature selection,enable/disable feature,false -> true,/,we think it's safe to turn this on by default for better out-of-the-box performance. It was off by default due to concerns about correctness. We have been running it in production for quite a while with no issues so far,/
HDFS-13505,dfs.namenode.acls.enabled,Turn on HDFS ACLs by default.,https://issues.apache.org/jira/browse/HDFS-13505,https://github.com/apache/hadoop/commit/e9b6b81de44ff5fb9f833cfc32c69b644eb46ba,feature selection,enable/disable feature,false -> true,/,ACLs is basic functionality required by most of the use cases and clients. Currently turning it on involves additional step of reconfiguring cluster and restarting service. We can avoid this by enabling it by default. This feature is in use for quite some time now and it is safe to make it default.,/
SPARK-21568,spark.ui.showConsoleProgress,ConsoleProgressBar should only be enabled in shells,https://issues.apache.org/jira/browse/SPARK-21568,https://github.com/apache/spark/commit/f31e11404d6d5ee28b574c242ecbee94f35e9370#,feature selection,enable/disable feature,True -> False,/,[CORE] ConsoleProgressBar should only be enabled in shells,/
SPARK-21783,spark.sql.orc.filterPushdown,[SQL] Turn on ORC filter push-down by default,https://issues.apache.org/jira/browse/SPARK-21783,https://github.com/apache/spark/commit/0f8a28617a0742d5a99debfbae91222c2e3b5cec,feature selection,enable/disable feature,false -> true,/,"We turned off Parquet filter push-down by default in Spark 1.4.0 and prior versions because of some Parquet side bugs in Parquet 1.6.0rc3. Now we've upgraded to 1.7.0, which fixed all those bugs. Should turn on Parquet filter push-down by default now.",/
SPARK-26700,spark.maxRemoteBlockSizeFetchToMem,enable fetch-big-block-to-disk by default,https://issues.apache.org/jira/browse/SPARK-26700,https://github.com/apache/spark/commit/ed71a825c56920327533ebb741707871848ccd6d,threshold,enable/disable feature,Int.MaxValue - 512 -> 200m,/,"The fetch-big-block-to-disk feature is disabled by default, because it's not compatible with external shuffle service prior to Spark 2.2. The client sends stream request to fetch block chunks, and old shuffle service can't support it.After 2 years, Spark 2.2 has EOL, and now it's safe to turn on this feature by default",no discussion
SPARK-27119,spark.sql.hive.caseSensitiveInferenceMode,Do not infer schema when reading Hive serde table with native data source,https://issues.apache.org/jira/browse/SPARK-27119,https://github.com/apache/spark/commit/31878c9daafb2c05e380b83cb4a04b32d5ff648f,mode,enable/disable feature,INFER_AND_SAVE -> NEVER_INFER,unexpected result: query returns 0 results,"To be safe, this PR just changes the default value to NEVER_INFER, so that users can set it back to INFER_AND_SAVE. If we don't receive any bug reports for it, we can remove the related code in the next release.",/
SPARK-27677,spark.shuffle.service.fetch.rdd.enabled,Disable by default fetching of disk persisted RDD blocks via external shuffle service,https://issues.apache.org/jira/browse/SPARK-27677,https://github.com/apache/spark/commit/1e87694f2bc0dea3eaaef936dc8552b3ba421539,feature selection,enable/disable feature,true -> false,"unexpected result: dynamic allocation to reclaim executors with only disk-cached blocks more rapidly, but still keep the cached data available.",In the PR the config `spark.shuffle.service.fetch.rdd.enabled` default is changed to false to avoid breaking any compatibility with older external shuffle service installations. As external shuffle service is deployed separately and disk persisted RDD block fetching had even introduced new network messages (`RemoveBlocks` and `BlocksRemoved`) and changed the behaviour of the already existing fetching: extended it for RDD blocks.,/
HDFS-12106,dfs.storage.policy.satisfier.low.max-streams.preference,Improve storage policy satisfier CONFIGurations.,https://issues.apache.org/jira/browse/HDFS-12106,https://github.com/apache/hadoop/commit/c561cb316e365ef674784cd6cf0b12c0fbc271a3,/,code error,false -> true,/,"Change dfs.storage.policy.satisfier.low.max-streams.preference's value to true and modify the default value to true as well. If user wants equal share then it should be false, but presently it is true which is not correct. Thanks Uma Maheswara Rao G for pointing out this case. code mistake, should be true(ideally), but false",/
HDFS-14676,CommonConfigurationKeys.FS_DF_INTERVAL_KEY,Wrong default value for fs.df.interval.,https://issues.apache.org/jira/browse/HDFS-14676,https://github.com/apache/hadoop/commit/72eba25e09e69d35c541603844dacf70a8499327,/,code error,3 * 1000 -> 60000,/,Wrong default value for fs.df.interval.,/
SPARK-27868,SPARK_NETWORK_IO_BACKLOG_KEY,[CORE] Better default value and documentation for socket server backlog.,https://issues.apache.org/jira/browse/SPARK-27868,https://github.com/apache/spark/commit/09ed64d795d3199a94e175273fff6fcea6b52131,/,code error,-1 -> 64,/,"The default value actual causes the default value from the JRE to be used, which is 50 according to the docs",/
