Issue link,Commit link,change mode,Title,param_name
HBASE-20117,https://github.com/apache/hbase/commit/b7308ee01c653051db4060ba28dadb5bcc74b7de,add new code,Cleanup the unused replication barriers in meta table,hbase.master.cleaner.replication.barrier.interval
HBASE-20159,https://github.com/apache/hbase/commit/061a31fad1654d9ded96d118e04c14860413fa25,add new code,Support using separate ZK quorums for client,hbase.client.zookeeper.quorum hbase.client.zookeeper.property.clientPort hbase.client.zookeeper.observer.mode
HBASE-18309,https://github.com/apache/hbase/commit/2442cbb6ab5b9f1729b74361dd2bbb066d5910bd,add new code,Support multi threads in CleanerChore,hbase.oldwals.cleaner.thread.size hbase.cleaner.scan.dir.concurrent.size
HBASE-20424,https://github.com/apache/hbase/commit/f67763ffa00ddb3115598dd0047783a8c4d27462,add new code,Allow writing WAL to local and remote cluster concurrently,hbase.wal.sync.impl
HBASE-20636,https://github.com/apache/hbase/commit/3de02d57f632d5c2cb2027cca3bd0333210f5619,add new code,Introduce two bloom filter type : ROWPREFIX and ROWPREFIX_DELIMITED,hbase.hfileoutputformat.families.bloomparam
HBASE-19722,https://github.com/apache/hbase/commit/78e7dd6537801534d02a8bff567e361759b7c5db,add new code,Meta query statistics metrics source,hbase.util.default.lossycounting.errorrate
HBASE-20569,https://github.com/apache/hbase/commit/44ca13fe07dc5050a2bc98ccd3f65953f06aaef8,add new code,NPE in RecoverStandbyProcedure.execute,zookeeper.znode.sync.replication.replaywal.workers
HBASE-20740,https://github.com/apache/hbase/commit/98245ca6e4b6b8cffe22534f32e825c912de2ed3,add new code,StochasticLoadBalancer should consider CoprocessorService request factor when computing cost,hbase.master.balancer.stochastic.cpRequestCost
HBASE-20649,https://github.com/apache/hbase/commit/ba5d1c1f28301adc99019d9d6c4a04fac98ae511,add new code,Validate HFiles do not have PREFIX_TREE DataBlockEncoding,hfilevalidator.numthreads
HBASE-20886,https://github.com/apache/hbase/commit/a8e184dc77470bdf9d62e19c5d36bc1de7cf4c6d,add new code,[Auth] Support keytab login in hbase client,hbase.client.keytab.file hbase.client.keytab.principal
HBASE-20965,https://github.com/apache/hbase/commit/e2fcde2d6f8f57cc28524a855e49c2d65e40b4ba,add new code,Separate region server report requests to new handlers,hbase.regionserver.report.handler.count hbase.master.rpc.scheduler.factory.class hbase.master.server.report.handler.count
HBASE-21072,https://github.com/apache/hbase/commit/86b35b26870be3a04304a4483c08fcf7c50d55f5,add new code,Block out HBCK1 in hbase2Write the hbase-1.x hbck1 lock file to block out hbck1 instances writingstate to an hbase-2.x cluster (could do damage).Set hbase.write.hbck1.lock.file to 0 to disable this writing.,hbase.write.hbck1.lock.file
HBASE-21073,https://github.com/apache/hbase/commit/bc7628a8c34994529011206ee889fb616525ec80,add new code,"Redo concept of maintenance modeInstead of being an ephemeral state set by hbck, maintenance mode is nowan explicit toggle set by either **CONFIG**uration property or environmentvariable. In maintenance mode, master will host system tables and notassign any user-space tables to RSs. This gives operators the ability toaffect repairs to meta table with fewer moving parts.",hbase.master.maintenance_mode
HBASE-19144,https://github.com/apache/hbase/commit/125f3eace9b35e7947721bba5175ca5dc48921e8,add new code,Retry assignments in FAILED_OPEN state when servers (re)join the cluster,hbase.rsgroup.reassign.wait
HBASE-21659,https://github.com/apache/hbase/commit/ec948f5d90fdaf51da7a7a0f7d9013a0c366492e,add new code,Avoid to load duplicate coprocessors in system config and table descriptor,hbase.skip.load.duplicate.table.coprocessor
HBASE-21159,https://github.com/apache/hbase/commit/77db1fae090bc20de62d8a86e9816c69dfb97b7a,add new code,Add shell command to switch throttle on or off,zookeeper.znode.quota.rpc.throttle
HBASE-21588,https://github.com/apache/hbase/commit/281d6429e55149cc4c05430dcc1d1dc136d8b245,add new code,Procedure v2 wal splitting implementation,hbase.split.wal.zk.coordinated
HBASE-21661,https://github.com/apache/hbase/commit/f053003ce7e8d9c86b2ff762b646d69e5e04cfe2,add new code,Provide Thrift2 implementation of Table/Admin,hbase.thrift.client.scanner.caching hbase.thrift.server.name hbase.thrift.server.por hbase.thrift.client.builder.class
HBASE-21867,https://github.com/apache/hbase/commit/72df52283b6c1b60252f6d78ade32a23a59197d5,add new code,Support multi-threads in HFileArchiver,hbase.hfilearchiver.thread.pool.max
HBASE-21926,https://github.com/apache/hbase/commit/6cd78e899fd37393eaa9f142facbee2d9a052dba,add new code,Profiler servlet,async.profiler.home
HBASE-15560,https://github.com/apache/hbase/commit/8ec93ea193f6765fd2639ce851ef8cac7df3f555,add new code,W-TinyLFU based BlockCache,hfile.block.cache.policy
HBASE-22301,https://github.com/apache/hbase/commit/47b4ab7b9732b790b2b471c489f670093e64ad2c,add new code,Consider rolling the WAL if the HDFS write pipeline is slow,hbase.regionserver.wal.slowsync.roll.threshold hbase.regionserver.wal.slowsync.roll.interval.ms
HBASE-22408,https://github.com/apache/hbase/commit/ada772a1d31b2569f349d5bea385c77ea8a40d38,add new code,add a metric for regions OPEN on non-live servers,hbase.assignment.dead.region.metric.chore.interval.msec
HBASE-21995,https://github.com/apache/hbase/commit/c1e5350be794180ce43bdc420b880f21160197d7,add new code,Add a coprocessor to set HDFS ACL for hbase granted user,hbase.user.scan.snapshot.enable hbase.user.scan.snapshot.thread.number
HBASE-18010,https://github.com/apache/hbase/commit/8ac4308411df0528a3ef5a3aae0297154940cd9d,add new code,Connect CellChunkMap to be used for flattening in CompactingMemStore,hbase.hregion.compacting.memstore.index
HBASE-19389,https://github.com/apache/hbase/commit/4f54a66782e1621437a4c8eeea59aec37efa08c4,add new code,Limit concurrency of put with dense (hundreds) columns to prevent write handler exhausted,hbase.region.store.parallel.put.print.threshold hbase.region.store.parallel.put.limit hbase.region.store.parallel.prepare.put.multiplierhbase.region.store.parallel.put.limit.min.column.count
HBASE-22648,https://github.com/apache/hbase/commit/9615c644f595b03cabd18bb0f1bf865ddf5aeb3,add new code,Snapshot TTL (#371),hbase.master.snapshot.ttl hbase.master.cleaner.snapshot.interval
HBASE-22618,https://github.com/apache/hbase/commit/836f26976e1ad8b35d778c563067ed0614c026e,add new code,added the possibility to load custom cost functions,hbase.master.balancer.stochastic.additionalCostFunctions
HBASE-23092,https://github.com/apache/hbase/commit/7ee6d59ef84ee2bdf4425b70ee6fd6ea8954a56,add new code,Make the RM tooling in dev-tools/create-release generic (#……671)Make the scripts generic. Adds an **OPTION** that allows you specify'project'. Defaults to 'hbase' for core. Pass 'hbase-thirdparty'or 'hbase-operator-tools' etc.This commit includes a bunch of bugfixes and miscellaneousthat came of trying to use the scripts making RCs.,project
HBASE-22874,https://github.com/apache/hbase/commit/5aa8d3a20b6e540f4ac361e70690d57e579ea06,add new code,Define a public API for Canary checking and a non-public ……tool implementationCloses #580* Canary is now an IA.Public interface* CanaryTool is now the implementation,hbase.canary.regionserver_all_regions hbase.canary.region.write.sniffing hbase.canary.region.write.table.timeout hbase.canary.region.write.table.name hbase.canary.region.read.table.timeout hbase.canary.zookeeper.permitted.failures hbase.canary.use.regex hbase.canary.timeout hbase.canary.fail.on.error
HBASE-23017,https://github.com/apache/hbase/commit/16da123df45af712f604cff32897d6c1166b86b,add new code,Verify the file integrity in persistent IOEngine,hbase.bucketcache.persistent.file.integrity.check.algorithm
HBASE-23083,https://github.com/apache/hbase/commit/1aee5f0552c93a1e27820b9468771f838a0712c,add new code,Collect Executor status info periodically and report to (#……664)metrics system,hbase.executors.status.collect.enabled
HBASE-22460,https://github.com/apache/hbase/commit/14dcf1d0c6fa6ed4fe95070b0de440c08366855,add new code,: Reopen regions with very high Store Ref Counts (#600),hbase.regions.recovery.store.file.ref.count hbase.master.regions.recovery.check.interval
HBASE-23073,https://github.com/apache/hbase/commit/42d535a57a75b58f585b48df9af9c966e6c7e46,add new code,Add an optional costFunction to balance regions according…… to a capacity rule (#677),hbase.master.balancer.heterogeneousRegionCountRulesFile hbase.master.balancer.heterogeneousRegionCountDefault hbase.master.balancer.stochastic.heterogeneousRegionCountCost
HBASE-23259,https://github.com/apache/hbase/commit/834ccb4bf6c22fc2a8aab172490fba75c7a40f1,add new code,"Populate master address end points in cluster/rs **CONFIG**s (……#807)All the clients need to know the master RPC end points while using masterbased registry for creating cluster connections. This patch amends thetest cluster utility to populate these **CONFIG**s in the base **CONFIG**urationobject used to spin up the cluster.The **CONFIG** key added here (""hbase.master.addrs"") is used in the subsequentpatches for HBASE-18095.",hbase.master.addrs
HBASE-23303,https://github.com/apache/hbase/commit/978546b2f247b29dd63bad55b17fdc2e7a31e55,add new code,Add security headers to REST server/info page (#843),hbase.http.filter.hsts.value hbase.http.filter.csp.value
HBASE-23326,https://github.com/apache/hbase/commit/1b049a2d340636b8f508cc2414db7b731ca9366,add new code,Implement a ProcedureStore which stores procedures in a H……Region (#941),hbase.master.cleaner.interval hbase.procedure.store.region.flush.size hbase.procedure.store.region.flush.per.changes hbase.procedure.store.region.flush.interval.ms hbase.procedure.store.region.compact.min
HBASE-23286,https://github.com/apache/hbase/commit/def9ac7c4586b5414371b4ff3c971de40e6d948,add new code,Improve MTTR: Split WAL to HFile (#820),hbase.wal.split.to.hfile
HBASE-17115,https://github.com/apache/hbase/commit/8b00f9f0b160a3191889aa3a80478525c8faf4b,add new code,"Define UI admins via an ACLThe Hadoop AccessControlList allows us to specify admins of the webUIvia a list of users and/or groups. Admins of the WebUI can mutate thesystem, potentially seeing sensitive data or modifying the system.hbase.security.authentication.spnego.admin.users is a comma-separatedlist of users who are admins.hbase.security.authentication.spnego.admin.groups is a comma-separatedlist of groups whose membership are admins. Either of these**CONFIGUR**ation properties may also contain an asterisk (*) which denotes""any entity"" (e.g user, group).Previously, when a user was denied from some endpoint that wasdesignated for admins, they received an HTTP/401. In this case, it ismore correct to return HTTP/403 as they were correctly authenticated,but they were disallowed from fetching the given resource. This commitincorporates this change.hbase.security.authentication.ui.config.protected also exists for userswho have sensitive information stored in the Hadoop service**CONFIGUR**ation and want to limit access to this endpoint. By default,the Hadoop **CONFIGUR**ation endpoint is not protected and anyauthenticated user can access it.The test is based off of work by Nihal Jain in HBASE-20472.Co-authored-by: Nihal Jain <nihaljain.cs@gmail.com>",HTTP_SPNEGO_AUTHENTICATION_ADMIN_USERS_KEY HTTP_SPNEGO_AUTHENTICATION_ADMIN_GROUPS_KEY hbase.security.authentication.ui.config.protected
HBASE-22749,https://github.com/apache/hbase/commit/b8194b49022e9f550cf2a2fb44cac204b441646,add new code,"Distributed MOB compactions- MOB compaction is now handled in-line with per-region compaction on region  servers- regions with mob data store per-hfile metadata about which mob hfiles are  referenced- admin requested major compaction will also rewrite MOB files; periodic RS  initiated major compaction will not- periodically a chore in the master will initiate a major compaction that  will rewrite MOB values to ensure it happens. controlled by  'hbase.mob.compaction.chore.period'. default is weekly- control how many RS the chore requests major compaction on in parallel  with 'hbase.mob.major.compaction.region.batch.size'. default is as  parallel as possible.- periodic chore in master will scan backing hfiles from regions to get the  set of referenced mob hfiles and archive those that are no longer  referenced. control period with 'hbase.master.mob.cleaner.period'- Optionally, RS that are compacting mob files can limit write  amplification by not rewriting values from mob hfiles over a certain size  limit. opt-in by setting 'hbase.mob.compaction.type' to 'optimized'.  control threshold by 'hbase.mob.compactions.max.file.size'.  default is 1GiB- Should smoothly integrate with existing MOB users via rolling upgrade.  will delay old MOB file cleanup until per-region compaction has managed  to compact each region at least once so that used mob hfile metadata can  be gathered.",hbase.mob.major.compaction.region.batch.size hbase.mob.compaction.type hbase.mob.compactions.max.file.size hbase.unsafe.mob.discard.miss hbase.mob.min.age.archive
SPARK-23380,https://github.com/apache/spark/commit/d6632d185e147fcbe6724545488ad80dce20277e,Add code change,[PYTHON] Adds a conf for Arrow fallback in toPandas/createDataFrame with Pandas DataFrame,spark.sql.execution.arrow.fallback.enabled
SPARK-19753,https://github.com/apache/spark/commit/dccc0aa3cf957c8eceac598ac81ac82f03b52105,Add code change,Un-register all shuffle output on a host in case of slave lost or fetch failure,spark.files.fetchFailure.unRegisterOutputOnHost
SPARK-20236,https://github.com/apache/spark/commit/a66fe36cee9363b01ee70e469f1c968f633c5713,Add code change,[SQL] dynamic partition overwrite,spark.sql.sources.partitionOverwriteMode
SPARK-20648,https://github.com/apache/spark/commit/4741c07809393ab85be8b4a169d4ed3da93a4781,Add code change,[CORE] Port JobsTab and StageTab to the new UI backend.,spark.ui.dagGraph.retainedRootRDDs
SPARK-21127,https://github.com/apache/spark/commit/61b5df567eb8ae0df4059cb0e334316fff462de9,Add code change,Update statistics after data changing commands,spark.sql.statistics.autoUpdate.size
SPARK-21243,https://github.com/apache/spark/commit/ef617755868077dbc57de4e7edea8f01335f5556,Add code change,Limit no. of map outputs in a shuffle fetch,spark.reducer.maxBlocksInFlightPerAddress
SPARK-21527,https://github.com/apache/spark/commit/574ef6c987c636210828e96d2f797d8f10aff05e,Add code change,Use buffer limit in order to use JAVA NIO Util's ……buffercache,spark.buffer.write.chunkSize
SPARK-21603,https://github.com/apache/spark/commit/1cce1a3b639c5c793d43fa51a8ec3e0fef622a40,Add code change,The wholestage codegen will be much slower then th……at is closed when the function is too long,spark.sql.codegen.maxLinesPerFunction
SPARK-22535,https://github.com/apache/spark/commit/03f2b7bff7e537ec747b41ad22e448e1c141f0dd,Add code change,[PYSPARK] Sleep before killing the python worker in PythonRunner.MonitorThread,spark.python.task.killTimeout
SPARK-22537,https://github.com/apache/spark/commit/efd0036ec88bdc385f5a9ea568d2e2bbfcda2912,Add code change,[CORE] Aggregation of map output statistics on driver faces single point bottleneck,spark.shuffle.mapOutput.parallelAggregationThreshold
SPARK-23668,https://github.com/apache/spark/commit/cccaaa14ad775fb981e501452ba2cc06ff5c0f0a,Add code change,[K8S] Add **CONFIG** option for passing through k8s Pod.specimagePullSecrets,spark.kubernetes.container.image.pullSecrets
SPARK-24156,https://github.com/apache/spark/commit/47b5b68528c154d32b3f40f388918836d29462b8,Add code change,[SS] Enabled no-data batches in MicroBatchExecution for streaming aggregation and deduplication.,spark.sql.streaming.noDataMicroBatchesEnabled
SPARK-24626,https://github.com/apache/spark/commit/d36539741ff6a12a6acde9274e9992a66cdd36e7,Add code change,Improve location size calculation in Analyze Table command,spark.sql.parallelFileListingInStatsComputation.enabled
SPARK-25457,https://github.com/apache/spark/commit/47d6e80a2e64823fabb596503fb6a6cc6f51f713,Add code change,IntegralDivide returns data type of the operands,spark.sql.legacy.integralDivide.returnBigint
SPARK-26089,https://github.com/apache/spark/commit/688b0c01fac0db80f6473181673a89f1ce1be65b,Add code change,Handle corruption in large shuffle blocks,spark.shuffle.detectCorrupt.useExtraMemory
SPARK-26178,https://github.com/apache/spark/commit/f982ca07e80074bdc1e3b742c5e21cf368e4ede2,Add code change,Use java.time API for parsing timestamps and dates from CSV,spark.sql.legacy.timeParser.enabled
SPARK-26902,https://github.com/apache/spark/commit/b0450d07bd5a77a519a662351ca5b5d562e61a58,Add code change,Support java.time.Instant as an external type of TimestampType,spark.sql.catalyst.timestampType
SPARK-27008,https://github.com/apache/spark/commit/8e5f9995cad409799f3646b3d03761a771ea1664,Add code change,Support java.time.LocalDate as an external type of…… DateType,spark.sql.datetime.java8API.enabled
SPARK-27045,https://github.com/apache/spark/commit/e60d8fce0b0cf2a6d766ea2fc5f994546550570a,Add code change,SQL tab in UI shows actual SQL instead of callsite in case of SparkSQLDriver,spark.sql.event.truncate.length
SPARK-27394,https://github.com/apache/spark/commit/5ff39cd5ee92da0d08380c7a680d350ff6f4b5db,Add code change,Flush LiveEntity if necessary when receiving SparkListenerExecutorMetricsUpdate,spark.ui.liveUpdate.minFlushPeriod
SPARK-27588,https://github.com/apache/spark/commit/618d6bff71073c8c93501ab7392c3cc579730f0b,Add code change,Binary file data source fails fast and doesn't attempt to read very large files,spark.sql.sources.binaryFile.maxLength
SPARK-27638,https://github.com/apache/spark/commit/66f5a42ca5d259038f0749ae2b9a04cc2f658880,Add code change,Cast string to date/timestamp in binary comparisons with dates/timestamps,spark.sql.legacy.typeCoercion.datetimeToString
SPARK-27693,https://github.com/apache/spark/commit/bc46feaced9f6694d4829af3cf5637bb1272ef77,Add code change,Add default catalog property,spark.sql.default.catalog
SPARK-27754,https://github.com/apache/spark/commit/1a8c09334db87b0e938c38cd6b59d326bdcab3c3,Add code change,Introduce additional config (spark.kubernetes.driver.request.cores) for driver request cores for spark on k8s,spark.kubernetes.driver.request.cores
SPARK-28052,https://github.com/apache/spark/commit/5ae1a6bf0dea9e74ced85686ef33a87cfa3e90c2,Add code change,Make `ArrayExists` follow the three-valued boolean logic.,spark.sql.legacy.arrayExistsFollowsThreeValuedLogic
SPARK-20981,https://github.com/apache/spark/commit/06c0544113ba77857c5cb1bbf94dcaf21d0b01af,Add code change,Add new **CONFIG**uration spark.jars.repositor……ies as equivalence of --repositories,spark.jars.repositories
SPARK-28118,https://github.com/apache/spark/commit/47f54b1ec717d0d744bf3ad46bb1ed3542b667c8,Add code change,[CORE] Add `spark.eventLog.compression.codec` configuration,spark.eventLog.compression.codec
SPARK-16019,https://github.com/apache/spark/commit/1cad31f00644d899d8e74d58c6eb4e9f72065473,Add code change,Use separate RM poll interval when starting clien……t AM.,spark.yarn.clientLaunchMonitorInterval
SPARK-16060,https://github.com/apache/spark/commit/eaac60a1e20e29084b7151ffca964cfaa5ba99d1,Add code change,[SQL][FOLLOW-UP] add a wrapper solution for vectorized orc reader,spark.sql.orc.copyBatchToSpark
SPARK-17091,https://github.com/apache/spark/commit/e1de34113e057707dfc5ff54a8109b3ec7c16dfb,Add code change,[SQL] Add rule to convert IN predicate to equivalent Parquet filter,spark.sql.parquet.pushdown.inFilterThreshold
SPARK-18580,https://github.com/apache/spark/commit/2b89e4aa2e8bd8b88f6e5eb60d95c1a58e5c4ace,Add code change,[DSTREAM][KAFKA] Add spark.streaming.backpressure.initialRate to direct Kafka streams,spark.streaming.backpressure.initialRate
SPARK-19606,https://github.com/apache/spark/commit/b3f9dbf48ec0938ff5c98833bb6b6855c620ef57,Add code change,[MESOS] Support constraints in spark-dispatcher,spark.mesos.driver.constraints
SPARK-20644,https://github.com/apache/spark/commit/c7f38e5adb88d43ef60662c5d6ff4e7a95bff580,Add code change,[core] Initial ground work for kvstore UI backend.,spark.ui.liveUpdate.period
SPARK-22187,https://github.com/apache/spark/commit/b3d88ac02940eff4c867d3acb79fe5ff9d724e83,Add code change,[SS] Update unsaferow format for saved state in flatMapGroupsWithState to allow timeouts with deleted state,spark.sql.streaming.flatMapGroupsWithState.stateFormatVersion
SPARK-22188,https://github.com/apache/spark/commit/5a07aca4d464e96d75ea17bf6768e24b829872ec,Add code change,"[CORE] Adding security headers for preventing XSS, MitM and MIME sniffing",spark.ui.xXssProtection spark.ui.xContentTypeOptions.enabled spark.ui.strictTransportSecurity
SPARK-22683,https://github.com/apache/spark/commit/55c4ca88a3b093ee197a8689631be8d1fac1f10f,Add code change,[CORE] Add a executorAllocationRatio **PARAMETER** to throttle the parallelism of the dynamic allocation,spark.dynamicAllocation.executorAllocationRatio
SPARK-22790,https://github.com/apache/spark/commit/ba891ec993c616dc4249fc786c56ea82ed04a827,Add code change,[SQL] add a **CONFIG**urable factor to describe HadoopFsRelation's size,spark.sql.sources.fileCompressionFactor
SPARK-22994,https://github.com/apache/spark/commit/0b2eefb674151a0af64806728b38d9410da552ec,Add code change,[K8S] Use a single image for all Spark containers.,spark.kubernetes.container.image
SPARK-23196,https://github.com/apache/spark/commit/49b0207dc9327989c72700b4d04d2a714c92e159,Add code change,Unify continuous and microbatch V2 sinks,spark.sql.streaming.disabledV2Writers
SPARK-23285,https://github.com/apache/spark/commit/fe2b7a4568d65a62da6e6eb00fff05f248b4332c,Add code change,[K8S] Add a **CONFIG** property for specifying physical executor cores,spark.kubernetes.executor.request.cores
SPARK-23836,https://github.com/apache/spark/commit/ddc2052ebd247aa2a8dad34fd5c1cd345fa45118,Add code change,"Support returning StructType to the level support in GroupedMap Arrow's ""scalar"" UDFS (or similar)",spark.sql.legacy.execution.pandas.groupedMap.assignColumnsByName
SPARK-24063,https://github.com/apache/spark/commit/c4bbfd177b4e7cb46f47b39df9fd71d2d9a12c6d,Add code change,Add maximum epoch queue threshold for ContinuousExecution,spark.sql.streaming.continuous.epochBacklogQueueSize
SPARK-24193,https://github.com/apache/spark/commit/8a837bf4f3f2758f7825d2362cf9de209026651a,Add code change,create TakeOrderedAndProjectExec only when the limit number is below spark.sql.execution.topKSortFallbackThreshold,spark.sql.execution.topKSortFallbackThreshold
SPARK-24296,https://github.com/apache/spark/commit/99d2e4e00711cffbfaee8cb3da9b6b3feab8ff18,Add code change,Replicate large blocks as a stream.,spark.storage.memoryMapLimitForTests
SPARK-24586,https://github.com/apache/spark/commit/03c9e8adeece2c371cef9e442f8630c52e09ecfb,Add code change,Upcast should not allow casting from string to other types,spark.sql.legacy.looseUpcast
SPARK-24605,https://github.com/apache/spark/commit/d08f53dc61f662f5291f71bcbe1a7b9f531a34d2,Add code change,[SQL] size(null) returns null instead of -1,spark.sql.legacy.sizeOfNull
SPARK-24836,https://github.com/apache/spark/commit/106880edcd67bc20e8610a16f8ce6aa250268eeb,Add code change,[SQL] New option for Avro datasource - ignoreExtension,ignoreExtension
SPARK-25004,https://github.com/apache/spark/commit/7ad18ee9f26e75dbe038c6034700f9cd4c0e2baa,Add code change,Add spark.executor.pyspark.memory limit.,spark.executor.pyspark.memory
SPARK-25021,https://github.com/apache/spark/commit/1cfda448255d5b4a0df88148e0f6acd88aa6e318,Add code change,Add spark.executor.pyspark.memory limit for K8S,spark.kubernetes.resource.type
SPARK-25174,https://github.com/apache/spark/commit/f8346d2fc01f1e881e4e3f9c4499bf5f9e3ceb3f,Add code change,Limit the size of diagnostic message for am to unregister itself from rm,spark.yarn.am.finalMessageLimit
SPARK-25454,https://github.com/apache/spark/commit/d0990e3dfee752a6460a6360e1a773138364d774,Add code change,add a new **CONFIG** for picking minimum precision for…… integral literals,spark.sql.legacy.literal.pickMinimumPrecision
SPARK-25811,https://github.com/apache/spark/commit/f92d2766535d882b17f6d3b061d1df57bc84a90e,Add code change,Raise a proper error when unsafe cast is detected by PyArrow,spark.sql.execution.pandas.arrowSafeTypeConversion
SPARK-25887,https://github.com/apache/spark/commit/c542c247bbfe1214c0bf81076451718a9e8931dc,Add code change,Allow specifying Kubernetes context to use,spark.kubernetes.context
SPARK-26322,https://github.com/apache/spark/commit/6daa78309460e338dd688cf6cdbd46a12666f72e,Add code change,Add spark.kafka.sasl.token.mechanism to ease delegation token **CONFIG**uration.,spark.kafka.sasl.token.mechanism
SPARK-26688,https://github.com/apache/spark/commit/caceaec93203edaea1d521b88e82ef67094cdea9,Add code change,Provide configuration of initially blacklisted YARN nodes,spark.yarn.exclude.nodes
SPARK-28177,https://github.com/apache/spark/commit/cec6a329044fa7d8a4f3da3871dbacac95cc38e,Add code change,[SQL] Adjust post shuffle partition number in adaptive execution,spark.sql.adaptive.reducePostShufflePartitions.enabled spark.sql.adaptive.maxNumPostShufflePartitions
SPARK-28294,https://github.com/apache/spark/commit/bbc2be4f425c4c26450e1bf21db407e81046ce2,Add code change,[CORE] Support `spark.history.fs.cleaner.maxNum` **CONFIGURATION,spark.history.fs.cleaner.maxNum
SPARK-27919,https://github.com/apache/spark/commit/ec821b4411bf64ab587548853ade08c053c64d6,Add code change,[SQL] Add v2 session catalog,spark.sql.catalog.session
SPARK-23472,https://github.com/apache/spark/commit/f83000597f250868de9722d8285fed013abc5ec,Add code change,[CORE] Add defaultJavaOptions for driver and executor.,spark.driver.defaultJavaOptions spark.executor.defaultJavaOptions
SPARK-27707,https://github.com/apache/spark/commit/127bc899ae78d73332a87f0972b5db3c9936c1f,Add code change,[SQL] Prune unnecessary nested fields from Generate,spark.sql.optimizer.expression.nestedPruning.enabled
SPARK-26218,https://github.com/apache/spark/commit/ee41001949af43d25dc6962ab6ca277e53c6429,Add code change,[SQL] Overflow on arithmetic operations returns incorrect result,spark.sql.arithmeticOperations.failOnOverFlow
SPARK-28651,https://github.com/apache/spark/commit/5bb69945e4aaf519cd10a5c5083332f618039af,Add code change,[SS] Force the schema of Streaming file source to be nullable,spark.sql.streaming.fileSource.schema.forceNullable
SPARK-28487,https://github.com/apache/spark/commit/0343854f54b48b206ca434accec99355011560c,Add code change,[K8S] More responsive dynamic allocation with K8SThis change implements a few changes to the k8s pod allocator sothat it behaves a little better when dynamic allocation is on.,spark.kubernetes.dynamicAllocation.deleteGracePeriod
SPARK-28573,https://github.com/apache/spark/commit/d5688dc732890923c326f272b0c18c329a69459,Add code change,[SQL] Convert InsertIntoTable(HiveTableRelation) to DataSource inserting for partitioned table,spark.sql.hive.convertInsertingPartitionedTable
SPARK-25341,https://github.com/apache/spark/commit/f725d472f51fb80c6ce1882ec283ff69bafb0de,Add code change,"[CORE] Support rolling back a shuffle map stage and re-generate the shuffle filesAfter the newly added shuffle block fetching protocol in #24565, we can keep this work by extending the FetchShuffleBlocks message.",spark.shuffle.useOldFetchProtocol
SPARK-26848,https://github.com/apache/spark/commit/4513f1c0dc450e9249d43fdad618fdcaf8d399b,Add code change,[SQL][SS] Introduce new **OPTION** to Kafka source: offset by timestamp (starting/ending),startingOffsetsByTimestamp endingOffsetsByTimestamp
SPARK-29182,https://github.com/apache/spark/commit/4ecbdbb6a7bd3908da32c82832e886b4f9f9e59,Add code change,[CORE] Cache preferred locations of checkpointed RDD,spark.rdd.checkpoint.cachePreferredLocsExpireTime
SPARK-26154,https://github.com/apache/spark/commit/c941362cb94b24bdf48d4928a1a4dff1b13a148,Add code change,[SS] Streaming left/right outer join should not return outer nulls for already matched rows,spark.sql.streaming.join.stateFormatVersion
SPARK-29568,https://github.com/apache/spark/commit/363af16c72abe19fc5cc5b5bdf9d8dc34975f2b,Add code change,[SS] Stop existing running streams when a new stream is launched,spark.sql.streaming.stopActiveRunOnRestart
SPARK-29956,https://github.com/apache/spark/commit/87ebfaf003fcd05a7f6d23b3ecd4661409ce5f2,Add code change,[SQL] A literal number with an exponent should be parsed to Double,spark.sql.legacy.exponentLiteralToDecimal.enabled
SPARK-29976,https://github.com/apache/spark/commit/ad238a2238a9d0da89be4424574436cbfaee579,Add code change,[CORE] Trigger speculation for stages with too few tasks,spark.speculation.task.duration.threshold
SPARK-30143,https://github.com/apache/spark/commit/4c37a8a3f4a489b52f1919d2db84f6e32c6a05c,Add code change,[SS] Add a timeout on stopping a streaming query,spark.sql.streaming.stopTimeout
SPARK-27963,https://github.com/apache/spark/commit/2ddeff97d7329942a98ef363991eeabc3fa71a7,Add new code,[CORE] Allow dynamic allocation without a shuffle service.,spark.dynamicAllocation.shuffleTimeout
SPARK-11035,https://github.com/apache/spark/commit/cfcd746689c2b84824745fa6d327ffb584c7a17d,Add new code,[CORE] Add in-process Spark app launcher.,spark.launcher.port spark.launcher.secret
SPARK-27362,https://github.com/apache/spark/commit/1277f8fa92da85d9e39d9146e3099fcb75c71a8f,Add new code,Resource Scheduling support for k8s,spark.driver.resource.{resourceName}.vendor spark.executor.resource.{resourceName}.vendor
SPARK-27783,https://github.com/apache/spark/commit/1ada36b5717f6446f0bc67fbad7c5e12796500b6,Add new code,[SQL] Add customizable hint error handler,hintErrorHandler
SPARK-12139,https://github.com/apache/spark/commit/2cbfc975ba937a4eb761de7a6473b7747941f386,Add new code,REGEX Column Specification,spark.sql.parser.quotedRegexColumnNames
SPARK-12297,https://github.com/apache/spark/commit/acf7ef3154e094875fa89f30a78ab111b267db91,Add new code,[SQL] Adjust timezone for int96 data from impala,spark.sql.parquet.int96TimestampConversion
SPARK-13534,https://github.com/apache/spark/commit/d03aebbe6508ba441dc87f9546f27aeb27553d77,Add new code,Using Apache Arrow to increase performance of ……DataFrame.toPandas,spark.sql.execution.arrow.enable spark.sql.execution.arrow.maxRecordsPerBatch
